date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:40	161/161	---M-Z	200	added ('OK')	text/plain	date:Fri,%2009%20Jan%202026%2016:25:36%20GMT	https://discoveraveiro.pt/robots.txt		(from )
16:25:41	114120/114120	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2016:25:37%20GMT	https://discoveraveiro.pt/	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/index.html	(from )
16:25:41	2065/2065	---M--	200	added ('OK')	image/png	etag:W/%22PSA-fhtztWFMSm%22	https://discoveraveiro.pt/wp-content/uploads/2025/08/cropped-logo-Discover-Aveiro-Turismo-Aluguer-de-bicicleta-passeio-de-barco-moliceiro_4_72ppi.png	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/uploads/2025/08/cropped-logo-Discover-Aveiro-Turismo-Aluguer-de-bicicleta-passeio-de-barco-moliceiro_4_72ppi.png	(from https://discoveraveiro.pt/)
16:25:42	2116/2116	---MCZ	200	added ('OK')	application/json	date:Fri,%2009%20Jan%202026%2016:25:38%20GMT	https://discoveraveiro.pt/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdiscoveraveiro.pt%2F	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-json/oembed/1.0/embed5f7a.json	(from https://discoveraveiro.pt/)
16:25:43	10828/10828	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2012%20Aug%202025%2022:29:57%20GMT	https://discoveraveiro.pt/comments/feed/	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/comments/feed/index.html	(from https://discoveraveiro.pt/)
16:25:44	1171/1171	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2012%20Aug%202025%2022:29:57%20GMT	https://discoveraveiro.pt/feed/	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/feed/index.html	(from https://discoveraveiro.pt/)
16:25:44	2270/2270	---M-Z	200	added ('OK')	text/xml	date:Fri,%2009%20Jan%202026%2016:25:40%20GMT	https://discoveraveiro.pt/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdiscoveraveiro.pt%2F&format=xml	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-json/oembed/1.0/embed293c	(from https://discoveraveiro.pt/)
16:25:44	101003/101003	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2009:15:49%20GMT	https://discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_d982b379b64c33cc5d046ceb060ff058.php?ver=3.17.11	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_d982b379b64c33cc5d046ceb060ff058673e.css	(from https://discoveraveiro.pt/)
16:25:44	37748/37748	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2009:15:49%20GMT	https://discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_4351d12276b131ab0512759b068e85e3.php?ver=7.12.2	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_4351d12276b131ab0512759b068e85e3994d.css	(from https://discoveraveiro.pt/)
16:25:45	9064/9064	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2009:15:49%20GMT	https://discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_856230f148eb2f699981fbaaddaf7866.php?ver=1.6.7	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_856230f148eb2f699981fbaaddaf7866694e.css	(from https://discoveraveiro.pt/)
16:25:45	158355/158355	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2009:15:49%20GMT	https://discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_e8e287564197b119add3cbe929a6786e.php?ver=5.17.7	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_e8e287564197b119add3cbe929a6786ee8fe.css	(from https://discoveraveiro.pt/)
16:25:45	790505/790505	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2009:15:50%20GMT	https://discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_99c68e7b183cca7a76e401919c312b18.php?ver=5.17.7	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_99c68e7b183cca7a76e401919c312b18e8fe.css	(from https://discoveraveiro.pt/)
16:25:45	85648/85648	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2009:15:50%20GMT	https://discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_7b7c5c9cd488ed79a4872a89a45db201.php?ver=2.1.7	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_7b7c5c9cd488ed79a4872a89a45db201e7f3.css	(from https://discoveraveiro.pt/)
16:25:46	2392/2392	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2009:15:50%20GMT	https://discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_64ac31699f5326cb3c76122498b76f66.php?ver=6.1	C:/Users/Administrator/Desktop/Copier-pic/d/discoveraveiro.pt/wp-content/cache/autoptimize/autoptimize_single_64ac31699f5326cb3c76122498b76f669b2d.css	(from https://discoveraveiro.pt/)
